,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
15,"Fully Furnished 170 m2 Apartment in Fanar, Metn",https://www.airbnb.com/rooms/40002546,840,monthly,929,Entire apartment,7,,33.87929,35.57932,0.7,0.0,entire_home,5
16,"Achrafieh, Getawi, cosy 2 rooms appartment, GF.",https://www.airbnb.com/rooms/30436118,840,monthly,929,Entire apartment,2,,33.89522,35.53162,0.7,0.9,entire_home,2
17,Cedars apartment,https://www.airbnb.com/rooms/5284645,840,monthly,938,Entire apartment,2,,33.89691,35.53384,0.7,0.86,entire_home,1
18,"Terrace for BBQ, panoramic view, two shower rooms",https://www.airbnb.com/rooms/42005722,840,monthly,951,Entire apartment,1,,33.85188,35.56255,0.8,0.9,entire_home,4
19,Private apartment in a calm surrounding!,https://www.airbnb.com/rooms/38371888,840,monthly,957,Entire apartment,2,,33.94039,35.62466,0.7,0.85,entire_home,2
20,Killer Beirut view from my studio,https://www.airbnb.com/rooms/8020431,848,monthly,962,Entire apartment,2,,33.85942,35.55808,0.72,1.0,entire_home,2
21,Comfort 3 Bed Serviced Apartment Mar Mikhael,https://www.airbnb.com/rooms/15695841,850,monthly,984,Entire serviced apartment,3,,33.896,35.527,0.61,0.85,entire_home,5
22,SANITIZED*Beirut privt apt near marmik Badaro$=1.5,https://www.airbnb.com/rooms/28234784,852,monthly,942,Entire apartment,1,,33.881,35.506,0.71,0.9,entire_home,5
23,Modern flat with great location!,https://www.airbnb.com/rooms/6759846,853,monthly,944,Entire apartment,2,,33.89437,35.48289,0.58,0.87,entire_home,2
24,The Cute Blue House With a View,https://www.airbnb.com/rooms/35241923,854,monthly,969,Entire apartment,1,,33.89,35.531,0.8,0.9,entire_home,3
25,F3 . New Furnished Studio Sassine Area,https://www.airbnb.com/rooms/10907017,855,monthly,968,Entire apartment,2,,33.88433,35.52028,0.95,0.0,entire_home,2
26,F4 . New Furnished Studio Sassine Area,https://www.airbnb.com/rooms/9947017,855,monthly,968,Entire apartment,2,,33.88505,35.51842,0.95,0.0,entire_home,2
27,Weekend studio two beds In the middle of Hamra,https://www.airbnb.com/rooms/39017789,864,monthly,956,Entire serviced apartment,2,,33.89726,35.48625,0.6,1.0,entire_home,2
28,Weekend studio King size bed. Perfect location.,https://www.airbnb.com/rooms/39018112,864,monthly,956,Entire serviced apartment,2,,33.89612,35.48527,0.6,0.77,entire_home,2
29,Samaya chalet and resort,https://www.airbnb.com/rooms/38692481,867,monthly,959,Entire apartment,30,,33.97691,35.61232,0.85,0.0,entire_home,3
30,Cozy Space & Roof Pool Access /#14,https://www.airbnb.com/rooms/39255088,867,monthly,959,Entire serviced apartment,1,,33.897,35.479,0.85,0.9,entire_home,2
31,Comfortable Private Studio at Siwar Center,https://www.airbnb.com/rooms/35786901,868,monthly,971,Entire loft,2,,33.96217,35.60371,0.9,0.95,entire_home,2
32,Sup . CentralAchrafieh. Nw Studio. Long term pls.,https://www.airbnb.com/rooms/23819659,870,monthly,962,Entire apartment,21,,33.89102,35.52295,0.0,0.0,entire_home,1
33,Affordable furnished appartement in Beirut,https://www.airbnb.com/rooms/18039275,870,monthly,962,Entire apartment,7,,33.87626,35.53751,0.0,0.0,entire_home,4
34,The Blue House,https://www.airbnb.com/rooms/42263874,878,monthly,971,Entire house,5,,33.89408,35.52162,0.65,0.9,entire_home,2
35,Moussa appartment,https://www.airbnb.com/rooms/28685637,878,monthly,971,Entire apartment,29,,33.88021,35.51503,0.75,0.85,entire_home,4
