,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
120,,https://www.airbnb.com/rooms/39581059,1062,monthly,1175,Entire serviced apartment,1,,25.10264,55.17796,0.0,0.0,entire_home,2
121,,https://www.airbnb.com/rooms/39641985,1062,monthly,1175,Entire serviced apartment,1,,25.09647,55.17268,0.0,0.0,entire_home,2
122,,https://www.airbnb.com/rooms/42823818,1180,monthly,1305,Entire serviced apartment,1,,25.11235,55.20315,0.0,0.0,entire_home,2
123,,https://www.airbnb.com/rooms/39191063,1062,monthly,1175,Entire serviced apartment,1,,25.09576,55.17686,0.0,0.0,entire_home,2
124,,https://www.airbnb.com/rooms/39578565,1062,monthly,1175,Entire serviced apartment,1,,25.09924,55.17723,0.0,0.0,entire_home,2
125,,https://www.airbnb.com/rooms/42823543,1180,monthly,1305,Entire serviced apartment,1,,25.1121,55.20376,0.0,0.0,entire_home,2
126,,https://www.airbnb.com/rooms/32566076,1111,monthly,1229,Entire apartment,2,,25.14105,55.25396,0.8,1.0,entire_home,3
127,,https://www.airbnb.com/rooms/43173816,1184,monthly,1321,Entire apartment,1,,25.24908,55.29672,0.0,0.0,entire_home,1
128,,https://www.airbnb.com/rooms/37039251,1164,monthly,1317,Entire apartment,5,,25.03447,55.20268,0.95,0.95,entire_home,3
129,,https://www.airbnb.com/rooms/39579681,1062,monthly,1175,Entire serviced apartment,1,,25.10017,55.17395,0.0,0.0,entire_home,2
130,,https://www.airbnb.com/rooms/42993837,1111,monthly,1229,Entire apartment,3,,25.09928,55.17699,0.85,0.95,entire_home,3
131,,https://www.airbnb.com/rooms/37037936,1103,monthly,1250,Entire apartment,5,,25.03353,55.20063,0.9,0.0,entire_home,3
132,,https://www.airbnb.com/rooms/43379512,1037,monthly,1147,Entire apartment,1,,25.14866,55.39357,1.0,1.0,entire_home,2
133,,https://www.airbnb.com/rooms/43203210,1062,monthly,1186,Entire apartment,1,,25.24936,55.29649,0.0,0.0,entire_home,2
